name,fibers,time
CG2_RIGHT_MNI,648,190.655803
THAL_MOT_LEFT_MNI,283,84.867117
IFO_LEFT_MNI,734,219.396295
AR_RIGHT_MNI,428,126.932986
AR_POST_LEFT_MNI,322,95.078073
AR_LEFT_MNI,428,126.253611
IL_RIGHT_MNI,500,147.507026
CC_ROSTRUM_MNI,84,24.807662
UN_RIGHT_MNI,336,99.256327
UN_LEFT_MNI,336,99.608967
THAL_TEMP_RIGHT_MNI,130,38.393495
IFO_RIGHT_MNI,734,217.402823
AR_ANT_LEFT_MNI,443,131.401407
CC_GENU_MNI,109,32.324739
CG_LEFT_MNI,202,59.506295
THAL_PAR_RIGHT_MNI,149,44.628379
AR_POST_RIGHT_MNI,322,95.773180
THAL_PAR_LEFT_MNI,149,44.036801
FORNIX_LEFT_MNI,70,20.756408
CC_SPLENIUM_MNI,90,26.753659
CG3_LEFT_MNI,103,30.558730
FORNIX_RIGHT_MNI,70,20.732640
THAL_OCC_RIGHT_MNI,83,24.708132
THAL_TEMP_LEFT_MNI,130,38.804152
THAL_OCC_LEFT_MNI,83,24.675663
AR_ANT_RIGHT_MNI,443,131.311901
CST_LEFT_MNI,424,126.448777
CST_long_LEFT_MNI,212,63.128781
CST_long_RIGHT_MNI,212,65.513965
THAL_FRONT_RIGHT_MNI,478,142.636357
CG_RIGHT_MNI,202,60.024486
IL_LEFT_MNI,500,150.145141
CG2_LEFT_MNI,648,191.083418
CST_RIGHT_MNI,424,127.030985
CG3_RIGHT_MNI,103,30.606631
CC_BODY_MNI,382,114.260022
THAL_MOT_RIGHT_MNI,283,85.447592
THAL_FRONT_LEFT_MNI,478,143.041438






 



 



 
 
















 



 








































